Symbol,Open,High,Low,Close
IBM,145.9800,146.6800,145.9800,146.3300
IBM,145.9400,145.9800,145.9400,145.9800
IBM,145.6900,145.6900,145.6900,145.6900
IBM,145.6800,145.6800,145.6600,145.6800
IBM,145.6600,145.6800,145.6600,145.6800
IBM,145.6500,145.6500,145.6500,145.6500
IBM,145.8300,145.9400,145.8300,145.9400
IBM,145.6600,145.8700,145.6600,145.8300
IBM,145.8200,145.8200,145.8200,145.8200
IBM,145.5700,145.5700,145.5500,145.5500
IBM,145.8800,145.8800,145.8300,145.8300
IBM,145.5000,145.5000,145.4900,145.4900
IBM,145.6200,145.6200,145.4800,145.4800
IBM,145.7100,145.7100,145.6100,145.6100
IBM,146.0000,146.0000,145.8300,145.8300
IBM,145.8100,145.8100,145.8100,145.8100
IBM,145.9000,145.9000,145.9000,145.9000
IBM,146.0000,146.0000,146.0000,146.0000
IBM,146.0000,146.0000,146.0000,146.0000
IBM,145.9900,145.9900,145.9900,145.9900
IBM,145.5900,146.0000,145.4900,146.0000
IBM,145.4100,145.6000,145.4100,145.6000
IBM,145.7600,145.9400,145.7600,145.9400
IBM,145.8800,145.8800,145.8800,145.8800
IBM,145.8800,145.8800,145.8800,145.8800
IBM,145.7000,145.7000,145.7000,145.7000
IBM,145.7700,145.7800,145.7500,145.7500
IBM,145.7400,145.7400,145.7400,145.7400
IBM,145.4700,145.5200,145.4700,145.5200
IBM,145.7400,145.7400,145.7400,145.7400
IBM,145.4500,145.5100,145.4500,145.5100
IBM,145.6900,145.6900,145.6900,145.6900
IBM,145.4000,145.6900,145.4000,145.6900
IBM,145.6600,145.6900,145.6600,145.6900
IBM,145.3800,145.3800,145.3800,145.3800
IBM,145.5500,145.5500,145.5500,145.5500
IBM,145.6900,145.6900,145.6900,145.6900
IBM,145.6900,145.6900,145.6900,145.6900
IBM,145.3900,145.3900,145.3900,145.3900
IBM,145.6300,145.6800,145.6300,145.6600
IBM,145.5800,145.5800,145.5800,145.5800
IBM,145.4000,145.4000,145.4000,145.4000
IBM,145.6900,145.6900,145.6900,145.6900
IBM,145.4500,145.4500,145.4500,145.4500
IBM,145.6900,145.6900,145.6900,145.6900
IBM,145.4500,145.4500,145.4500,145.4500
IBM,145.6280,145.6280,145.6280,145.6280
IBM,145.6900,145.6900,145.6900,145.6900
IBM,145.2800,145.2800,145.2800,145.2800
IBM,145.2800,145.2800,145.2800,145.2800
IBM,145.4300,145.4500,145.4300,145.4500
IBM,145.3500,145.3500,145.3500,145.3500
IBM,145.4400,145.4400,145.2800,145.2800
IBM,145.6900,145.6900,145.6900,145.6900
IBM,145.2800,145.2800,145.2800,145.2800
IBM,145.4500,145.4500,145.4500,145.4500
IBM,145.5620,145.5620,145.5620,145.5620
IBM,145.2800,145.2800,145.2800,145.2800
IBM,145.6400,145.6400,145.6300,145.6300
IBM,145.4000,145.4000,145.4000,145.4000
IBM,145.6500,145.7400,145.6500,145.7400
IBM,145.0000,145.0000,145.0000,145.0000
IBM,145.3100,145.4000,145.3100,145.4000
IBM,145.0000,145.0000,145.0000,145.0000
IBM,145.8800,145.8800,145.8800,145.8800
IBM,145.4700,145.7800,145.4700,145.6300
IBM,145.4800,145.4800,145.4800,145.4800
IBM,145.7800,145.7800,145.7800,145.7800
IBM,145.4800,145.4800,145.4800,145.4800
IBM,145.2700,145.2700,145.2700,145.2700
IBM,145.1900,145.1900,145.1900,145.1900
IBM,145.1800,145.1800,145.1800,145.1800
